Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=2055000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2055000: WB COMMIT - rd=x13, data=0x00000096
Time=2065000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2065000: WB COMMIT - rd=x14, data=0x00000002
Time=2075000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2075000: FLASH READ - addr=0x00000040, data=0x13
Time=2085000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2085000: FLASH READ - addr=0x00000041, data=0x07
Time=2095000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2095000: FLASH READ - addr=0x00000042, data=0x50
Time=2105000: CPU READ REQUEST - addr=0x00000040, ready=0
Time=2105000: FLASH READ - addr=0x00000043, data=0x05
Time=2115000: CPU READ REQUEST - addr=0x00000040, ready=1
Time=2115000: FLASH READ - addr=0x00000044, data=0x93
Time=2125000: CPU READ REQUEST - addr=0x00000044, ready=1
Time=2125000: FLASH READ - addr=0x00000044, data=0x93
Time=2135000: CPU READ REQUEST - addr=0x00000044, ready=1
Time=2145000: CPU READ REQUEST - addr=0x00000044, ready=0
Time=2155000: CPU READ REQUEST - addr=0x00000044, ready=0
Time=2155000: FLASH READ - addr=0x00000044, data=0x93
Time=2165000: CPU READ REQUEST - addr=0x00000044, ready=0
Time=2165000: FLASH READ - addr=0x00000045, data=0x07
Time=2175000: CPU READ REQUEST - addr=0x00000044, ready=0
Time=2175000: FLASH READ - addr=0x00000046, data=0xa0
Time=2185000: CPU READ REQUEST - addr=0x00000044, ready=0
Time=2185000: FLASH READ - addr=0x00000047, data=0x05
Time=2195000: CPU READ REQUEST - addr=0x00000044, ready=1
Time=2195000: FLASH READ - addr=0x00000048, data=0x63
Time=2205000: CPU READ REQUEST - addr=0x00000048, ready=1
Time=2205000: FLASH READ - addr=0x00000048, data=0x63
Time=2215000: CPU READ REQUEST - addr=0x00000048, ready=1
Time=2225000: CPU READ REQUEST - addr=0x00000048, ready=0
Time=2235000: CPU READ REQUEST - addr=0x00000048, ready=0
Time=2235000: FLASH READ - addr=0x00000048, data=0x63
Time=2245000: CPU READ REQUEST - addr=0x00000048, ready=0
Time=2245000: FLASH READ - addr=0x00000049, data=0x94
Time=2255000: CPU READ REQUEST - addr=0x00000048, ready=0
Time=2255000: FLASH READ - addr=0x0000004a, data=0x26
Time=2265000: CPU READ REQUEST - addr=0x00000048, ready=0
Time=2265000: FLASH READ - addr=0x0000004b, data=0x00
Time=2275000: CPU READ REQUEST - addr=0x00000048, ready=1
Time=2275000: FLASH READ - addr=0x0000004c, data=0x13
Time=2285000: CPU READ REQUEST - addr=0x0000004c, ready=1
Time=2285000: FLASH READ - addr=0x0000004c, data=0x13
Time=2295000: CPU READ REQUEST - addr=0x0000004c, ready=1
Time=2305000: CPU READ REQUEST - addr=0x0000004c, ready=0
Time=2315000: CPU READ REQUEST - addr=0x0000004c, ready=0
Time=2315000: FLASH READ - addr=0x0000004c, data=0x13
Time=2325000: CPU READ REQUEST - addr=0x0000004c, ready=0
Time=2325000: FLASH READ - addr=0x0000004d, data=0x08
Time=2335000: CPU READ REQUEST - addr=0x0000004c, ready=0
Time=2335000: FLASH READ - addr=0x0000004e, data=0x60
Time=2345000: CPU READ REQUEST - addr=0x0000004c, ready=0
Time=2345000: FLASH READ - addr=0x0000004f, data=0x06
Time=2355000: CPU READ REQUEST - addr=0x0000004c, ready=1
Time=2355000: FLASH READ - addr=0x00000050, data=0x13
Time=2365000: CPU READ REQUEST - addr=0x0000004c, ready=1
Time=2365000: FLASH READ - addr=0x00000050, data=0x13
Time=2375000: CPU READ REQUEST - addr=0x0000004c, ready=1
Time=2445000: WB COMMIT - rd=x15, data=0x0000005a
Time=2475000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2485000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2495000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2495000: FLASH READ - addr=0x00000050, data=0x13
Time=2505000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2505000: FLASH READ - addr=0x00000051, data=0x08
Time=2515000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2515000: FLASH READ - addr=0x00000052, data=0x90
Time=2525000: CPU READ REQUEST - addr=0x00000050, ready=0
Time=2525000: FLASH READ - addr=0x00000053, data=0x09
Time=2535000: CPU READ REQUEST - addr=0x00000050, ready=1
Time=2535000: FLASH READ - addr=0x00000054, data=0xef
Time=2545000: CPU READ REQUEST - addr=0x00000054, ready=1
Time=2545000: FLASH READ - addr=0x00000054, data=0xef
Time=2555000: CPU READ REQUEST - addr=0x00000054, ready=1
Time=2565000: CPU READ REQUEST - addr=0x00000054, ready=0
Time=2575000: CPU READ REQUEST - addr=0x00000054, ready=0
Time=2575000: FLASH READ - addr=0x00000054, data=0xef
Time=2585000: CPU READ REQUEST - addr=0x00000054, ready=0
Time=2585000: FLASH READ - addr=0x00000055, data=0x08
Time=2595000: CPU READ REQUEST - addr=0x00000054, ready=0
Time=2595000: FLASH READ - addr=0x00000056, data=0x80
Time=2605000: CPU READ REQUEST - addr=0x00000054, ready=0
Time=2605000: FLASH READ - addr=0x00000057, data=0x00
Time=2615000: CPU READ REQUEST - addr=0x00000054, ready=1
Time=2615000: FLASH READ - addr=0x00000058, data=0x13
Time=2625000: CPU READ REQUEST - addr=0x00000058, ready=1
Time=2625000: FLASH READ - addr=0x00000058, data=0x13
Time=2635000: CPU READ REQUEST - addr=0x00000058, ready=1
Time=2645000: CPU READ REQUEST - addr=0x00000058, ready=0
